hmdb_id	name	pubchem_id	chebi_id	kegg_id	metlin_id	lipid	smiles	exactmass	formula	inchi_key	super_class	main_class	sub_class	synonym	chem_id	comp_id	derived_feature
HMDB07869	1-myristoyl-2-palmitoyl-GPC (14:0/16:0)			""			""			""		Lipid	Phosphatidylcholine (PC)	1-myristoyl-2-palmitoyl-GPC (14:0/16:0)	100000672	19258	FALSE
HMDB11561	1-myristoylglycerol (14:0)			""			""			""		Lipid	Monoacylglycerol	1-myristoylglycerol (14:0)	100001618	35625	FALSE
HMDB09069	1-oleoyl-2-arachidonoyl-GPE (18:1/20:4)*			""			""			""		Lipid	Phosphatidylethanolamine (PE)	1-oleoyl-2-arachidonoyl-GPE (18:1/20:4)*	100009219	55041	FALSE
HMDB08123	1-oleoyl-2-docosahexaenoyl-GPC (18:1/22:6)*			""			""			""		Lipid	Phosphatidylcholine (PC)	1-oleoyl-2-docosahexaenoyl-GPC (18:1/22:6)*	100009130	52697	FALSE
HMDB05349	1-oleoyl-2-linoleoyl-GPE (18:1/18:2)*			""			""			""		Lipid	Phosphatidylethanolamine (PE)	1-oleoyl-2-linoleoyl-GPE (18:1/18:2)*	100009078	52687	FALSE
""	1-oleoyl-GPA (18:1)			""			""			""		Lipid	Lysophospholipid	1-oleoyl-GPA (18:1)	100001671	36812	FALSE
HMDB02815	1-oleoyl-GPC (18:1)			""			""			""		Lipid	Lysophospholipid	1-oleoyl-GPC (18:1)	100001272	48258	FALSE
HMDB11506	1-oleoyl-GPE (18:1)			""			""			""		Lipid	Lysophospholipid	1-oleoyl-GPE (18:1)	100001569	35628	FALSE
""	1-oleoyl-GPG (18:1)*			""			""			""		Lipid	Lysophospholipid	1-oleoyl-GPG (18:1)*	100005716	45968	FALSE
""	1-oleoyl-GPI (18:1)*			""			""			""		Lipid	Lysophospholipid	1-oleoyl-GPI (18:1)*	100001777	36602	FALSE
HMDB11567	1-oleoylglycerol (18:1)			""			""			""		Lipid	Monoacylglycerol	1-oleoylglycerol (18:1)	100000924	21184	FALSE
HMDB08008	1-palmitoleoyl-2-linolenoyl-GPC (16:1/18:3)*			""			""			""		Lipid	Phosphatidylcholine (PC)	1-palmitoleoyl-2-linolenoyl-GPC (16:1/18:3)*	100009345	53180	FALSE
HMDB08006	1-palmitoleoyl-2-linoleoyl-GPC (16:1/18:2)*			""			""			""		Lipid	Phosphatidylcholine (PC)	1-palmitoleoyl-2-linoleoyl-GPC (16:1/18:2)*	100009075	52683	FALSE
HMDB10383	1-palmitoleoyl-GPC (16:1)*			""			""			""		Lipid	Lysophospholipid	1-palmitoleoyl-GPC (16:1)*	100001511	33230	FALSE
HMDB11565	1-palmitoleoylglycerol (16:1)*			""			""			""		Lipid	Monoacylglycerol	1-palmitoleoylglycerol (16:1)*	100008952	52431	FALSE
HMDB07975	1-palmitoyl-2-alpha-linolenoyl-GPC (16:0/18:3n3)*			""			""			""		Lipid	Phosphatidylcholine (PC)	1-palmitoyl-2-alpha-linolenoyl-GPC (16:0/18:3n3)*	100009076	52684	FALSE
HMDB07982	1-palmitoyl-2-arachidonoyl-GPC (16:0/20:4n6)			""			""			""		Lipid	Phosphatidylcholine (PC)	1-palmitoyl-2-arachidonoyl-GPC (16:0/20:4n6)	100008914	52462	FALSE
HMDB05323	1-palmitoyl-2-arachidonoyl-GPE (16:0/20:4)*			""			""			""		Lipid	Phosphatidylethanolamine (PE)	1-palmitoyl-2-arachidonoyl-GPE (16:0/20:4)*	100008990	52464	FALSE
HMDB09789	1-palmitoyl-2-arachidonoyl-GPI (16:0/20:4)*			""			""			""		Lipid	Phosphatidylinositol (PI)	1-palmitoyl-2-arachidonoyl-GPI (16:0/20:4)*	100008993	52467	FALSE
""	1-palmitoyl-2-dihomo-linolenoyl-GPC (16:0/20:3n3 or 6)*			""			""			""		Lipid	Phosphatidylcholine (PC)	1-palmitoyl-2-dihomo-linolenoyl-GPC (16:0/20:3n3 or 6)*	100008985	52454	FALSE
HMDB07991	1-palmitoyl-2-docosahexaenoyl-GPC (16:0/22:6)			""			""			""		Lipid	Phosphatidylcholine (PC)	1-palmitoyl-2-docosahexaenoyl-GPC (16:0/22:6)	100008915	52610	FALSE
HMDB05324	1-palmitoyl-2-docosahexaenoyl-GPE (16:0/22:6)*			""			""			""		Lipid	Phosphatidylethanolamine (PE)	1-palmitoyl-2-docosahexaenoyl-GPE (16:0/22:6)*	100008991	52465	FALSE
HMDB07974	1-palmitoyl-2-gamma-linolenoyl-GPC (16:0/18:3n6)*			""			""			""		Lipid	Phosphatidylcholine (PC)	1-palmitoyl-2-gamma-linolenoyl-GPC (16:0/18:3n6)*	100009154	54812	FALSE
HMDB07973	1-palmitoyl-2-linoleoyl-GPC (16:0/18:2)			""			""			""		Lipid	Phosphatidylcholine (PC)	1-palmitoyl-2-linoleoyl-GPC (16:0/18:2)	1537	42446	FALSE
HMDB05322	1-palmitoyl-2-linoleoyl-GPE (16:0/18:2)			""			""			""		Lipid	Phosphatidylethanolamine (PE)	1-palmitoyl-2-linoleoyl-GPE (16:0/18:2)	100001870	42449	FALSE
HMDB09784	1-palmitoyl-2-linoleoyl-GPI (16:0/18:2)			""			""			""		Lipid	Phosphatidylinositol (PI)	1-palmitoyl-2-linoleoyl-GPI (16:0/18:2)	1528	52450	FALSE
HMDB07972	1-palmitoyl-2-oleoyl-GPC (16:0/18:1)			""			""			""		Lipid	Phosphatidylcholine (PC)	1-palmitoyl-2-oleoyl-GPC (16:0/18:1)	1539	52461	FALSE
HMDB05320	1-palmitoyl-2-oleoyl-GPE (16:0/18:1)			""			""			""		Lipid	Phosphatidylethanolamine (PE)	1-palmitoyl-2-oleoyl-GPE (16:0/18:1)	1526	19263	FALSE
HMDB09783	1-palmitoyl-2-oleoyl-GPI (16:0/18:1)*			""			""			""		Lipid	Phosphatidylinositol (PI)	1-palmitoyl-2-oleoyl-GPI (16:0/18:1)*	100009066	52669	FALSE
HMDB07969	1-palmitoyl-2-palmitoleoyl-GPC (16:0/16:1)*			""			""			""		Lipid	Phosphatidylcholine (PC)	1-palmitoyl-2-palmitoleoyl-GPC (16:0/16:1)*	100008984	52470	FALSE
HMDB07970	1-palmitoyl-2-stearoyl-GPC (16:0/18:0)			""			""			""		Lipid	Phosphatidylcholine (PC)	1-palmitoyl-2-stearoyl-GPC (16:0/18:0)	100008921	52616	FALSE
HMDB00327	1-palmitoyl-GPA (16:0)			""			""			""		Lipid	Lysophospholipid	1-palmitoyl-GPA (16:0)	100001445	34428	FALSE
HMDB10382	1-palmitoyl-GPC (16:0)			""			""			""		Lipid	Lysophospholipid	1-palmitoyl-GPC (16:0)	100001263	33955	FALSE
HMDB11503	1-palmitoyl-GPE (16:0)			""			""			""		Lipid	Lysophospholipid	1-palmitoyl-GPE (16:0)	100001567	35631	FALSE
